id_programa,nome,unidade_acompanhamento,situacao,ano_programa,sigla_unidade_responsavel_acompanhamento,nome_institucional_programa,objetivo_programa
2717,Promoção e Capacitação em Tecnologias de Propulsores Elétricos,Diretoria de Inteligência Estratégica e Novos Negócios,DISPONIBILIZADO,2024,DIEN,"Ação Orçamentária: 20VB - Pesquisa, Desenvolvimento Tecnológico e Formação de Capital Humano para o Setor Espacial  PO 0007 - Desenvolvimento de Competências e Capital Humano para o Setor Espacial","Esse Termo de Execução Descentralizada (TED) tem como objetivo fomentar um projeto de desenvolvimento de tecnologias e competências, com apoio a formação de capital humano e disseminação de conhecimento no setor da propulsão elétrica espacial. O projeto será conduzido em 12 meses e realizado sob a coordenação do Universidade de Brasília (UnB) em colaboração com o INPE e outras universidades como a UFSC. O projeto terá quatro metas a serem alcançadas, sendo três eventos de capacitações voltadas para a comunidade de propulsão elétrica no Brasil e uma meta de desenvolvimento tecnológico, sendo essas:

Realização do 2º Workshop Brasileiro em Propulsão Elétrica Espacial;
Realização da 2ª Escola Brasileira de Propulsão Elétrica Espacial;
Realização de um curso sobre propulsão elétrica e suas aplicações;
Proposta de um propulsor elétrico adequado para uma classe de missões com nano satélites.

O projeto buscará promover uma ampla discussão técnica, a partir da realização de uma Escola e um Workshop voltado para a área de Propulsão Elétrica Espacial, com participação de especialistas nacionais e internacionais. Os eventos terão apresentações e debates visando um futuro projeto de desenvolvimento de pequenos satélites nacionais com propulsores elétricos, além de contribuir para a consolidação da “Rede Brasileira de Propulsão Elétrica”. Para divulgação, o será realizado um curso sobre propulsão elétrica e suas aplicações a ser realizado pela plataforma AEB Escola Virtual tendo como público-alvo professores do Ensino Médio e estudantes de graduação de áreas relacionadas ao tema. Na última fase do projeto, será elaborada uma proposta de desenvolvimento de um propulsor elétrico nacional que atenda uma missão espacial de um micro ou nanossatélite. A escolha dessa tecnologia será embasada em estudos atuais e referências bibliográficas relevantes que serão revistas, além de análises de custos e oportunidades em harmonia com pesquisas existentes que possam obter orçamento compatíveis com os objetivos almejados em uma futura missão de nanossatélite usando propulsão elétrica. A tecnologia a ser escolhida para a proposta deve estar em nível de maturidade tecnológica de pelo menos TRL 3 para então propor os desenvolvimentos futuros necessários para que o propulsor atinja os níveis TRL 5 a 6. As documentações técnicas produzidas pelos projetos serão disponibilizadas a grupos universitários envolvidos em estudos sobre propulsão elétrica, podendo ser usadas como base teórica e tecnológica para reprodução e futuros desenvolvimentos. O objetivo é estimular o interesse na propulsão elétrica e auxiliar a formação de novos grupos de pesquisa, disseminando o conhecimento básico sobre o assunto."
1888,Foguete universitário padrão Uirapuru - Base tecnológica para nivelamento de conhecimento em equipes universitárias.,Diretoria de Inteligência Estratégica e Novos Negócios,DISPONIBILIZADO,2023,DIEN,"Pesquisa, Desenvolvimento Tecnológico e Formação de Capital Humano para o Setor Espacial  PO 0007 - Desenvolvimento de Competências e Capital Humano para o Setor Espacial","O presente instrumento tem por objeto o desenvolvimento de competências e apoio a formação de capital humano em projetos de foguetes experimentais acadêmicos. Para tal fim, será desenvolvido dois projetos propulsão sob a coordenação do Instituto Tecnológico de Aeronáutica (ITA). O primeiro projeto consiste em um foguete a propulsão sólida contemplando a fabricação, os testes e um lançamento a partir do território nacional e preferencialmente em um centro de lançamento.  O segundo projeto contempla o desenvolvimento e testes de um motor foguete híbrido para caracterização em bancada. Ambos os projetos serão executados de forma paralela, de forma a integrar e comparar o conhecimento extraído em cada desenvolvimento.
As documentações técnicas produzidas pelos projetos serão disponibilizadas à grupos universitários de foguete modelismo, podendo ser usados como base teórica e tecnológica para reprodução e futuros desenvolvimentos. Além disso, serão produzidos materiais didáticos e cursos no formato EaD a serem disponibilizados na plataforma AEB Escola Virtual, tendo como público-alvo estudantes de graduação dos cursos de aeroespacial e afins. O objetivo é auxiliar a formação grupos foguetes universitários, disseminando e nivelando o conhecimento mínimo para a atuação dos estudantes com menores riscos à segurança e maiores contribuições tecnológicas e científicas.
Os cursos serão disponibilizados no formato síncronos e de autoaprendizagem (assíncronos).  Os cursos síncronos serão realizados a cada semestre e objetivarão a participação das equipes universitárias atuais. Esses cursos serão adaptados para o formato de autoaprendizagem, oferecendo acesso ao conhecimento a todos os novos integrantes destas equipes e às novas equipes formadas. 
Estudantes do ITA que participarem dos projetos de desenvolvimento do foguete e bancada de motor-foguete padrão atuaram como mentores nos cursos EaD, sob a orientação dos professores. Esses estudantes terão as atividades previstas neste objeto em harmonia com projetos de extensão no ITA, projetos de graduação e de iniciação científica.
Os temas dos cursos e materiais produzidos seguirão as metas de desenvolvimento a seguir:
1.          Capacitar estudantes de graduação do ITA para o projeto de um foguete padrão baseado em competições universitárias; Nivelamento básico de aerodinâmica e propulsão (propelente sólidos e híbridos); 
2.          Projeto técnico do foguete e de seus subsistemas. Relatório que conterá informações técnicas e teóricas utilizadas na proposição do projeto, simulações relevantes, desenho de peças e diagramas de integração;
3.          Desenvolvimento dos requisitos de missão dos dois projetos e de seus subsistemas, com completa previsão de aquisições, de fabricação e testes;
4.          Fabricação e teste de componentes e subsistemas do foguete padrão a propulsão sólida e do motor foguete híbrido, com análise preliminar dos resultados obtidos e acompanhamento de aquisições, fabricações e entregas;
5.          Integração dos subsistemas e verificação final para lançamento do foguete a propulsão sólida e para testes do motor a propulsão híbrida; 
6.          Operação de lançamento do foguete e testes em bancada do sistema propulsivo motor híbrido."
4360,Participação da Olimpíada Nacional de Ciência no Congresso Planetário da ASE,Diretoria de Inteligência Estratégica e Novos Negócios,DISPONIBILIZADO,2025,DIEN,PO 0007 - Desenvolvimento de Competências e Capital Humano para o Setor Espacial,Apoiar a participação de estudantes e professores da Olimpíada Nacional de Ciências (ONC) no CONGRESSO PLANETÁRIO DA ASE - 2025
3704,Pesquisa e Desenvolvimento em Tecnologias Associadas a Veículos Espaciais,Diretoria de Gestão de Portfólio,DISPONIBILIZADO,2025,DGEP,Desenvolvimento de Motor Foguete a Propelente L´íquido (MFPL) L25,Desenvolvimento de um protótipo de voo do MFPL L25 (Fase 0).
2354,Obrigações Ambientais - MCTI,Diretoria de Gestão de Portfólio,DISPONIBILIZADO,2024,DGEP,LOC - CLA / MCTI,"Cumprimento de obrigações relativas às condicionantes da Licença de Operação Corretiva expedida pelo Ibama ao CLA, sob responsabilidade do MCTI devido à inventariança da extinta Alcântara Cyclone Space (ACS)."
4082,Desenvolvimento do Primeiro Satélite da Missão AMZ1B/AQUAE/SABIA-Mar,Diretoria de Gestão de Portfólio,DISPONIBILIZADO,2025,DGEP,Desenvolvimento de Sistemas Espaciais,"Desenvolver, lançar e comissionar o satélite Amazonia 1B como o primeiro satélite da missão AQUAE. Esse PO visa concluir a integração do satélite Amazonia 1B, viabilizar seu lançamento e comissionamento. Estão incluídas as atividades do segmento solo controle e aplicação, as quais são necessárias para a entrada do Amazonia 1B na sua fase operacional."
3608,Implantação do CEA - CLA,Diretoria de Gestão de Portfólio,DISPONIBILIZADO,2025,DGEP,Implantação do CEA - CLA,"Viabilizar um conjunto mínimo para lançamentos de veículos de pequeno porte, compreendendo os sistemas de localização e telemetria, segurança de superfície, segurança de voo, trajetografia, meteorologia, metrologia, gerenciamento da qualidade, alojamentos e demais itens identificados como necessários."
3744,Programa GLOBE no Maranhão,Diretoria de Inteligência Estratégica e Novos Negócios,DISPONIBILIZADO,2025,DIEN,PO 0007 - Desenvolvimento de Competências e Capital Humano para o Setor Espacial,"Promover, no Estado do Maranhão, a capacitação de jovens cientistas cidadãos no desenvolvimento de pesquisas científicas sobre o meio ambiente, focando no uso de aplicação de tecnologias espaciais e na coleta de dados ambientais em campo por meio do Programa GLOBE."
2479,"2307 - Programa Espacial Brasileiro: Ação 21AG - Desenvolvimento de Missões e Aplicações Espaciais, PO 000I - Atividades Preparatórias Visando o Desenvolvimento da Missão CBERS 06",Diretoria de Gestão de Portfólio,DISPONIBILIZADO,2024,DGEP, Nome Institucional do Programa  PO 000I - Atividades Preparatórias Visando o Desenvolvimento da Missão CBERS 06,"Atividades preparatórias visando desenvolver, fabricar, testar, lançar e comissionar um satélite de sensoriamento remoto com o uso de carga útil SAR (Radar de abertura sintética) em cooperação com a República Popular da China."
3853,Programa GLOBE no Maranhão,Diretoria de Inteligência Estratégica e Novos Negócios,DISPONIBILIZADO,2025,DIEN, PO 0007 - Desenvolvimento de Competências e Capital Humano para o Setor Espacial,"Promover, no Estado do Maranhão, a capacitação de jovens cientistas cidadãos no desenvolvimento de pesquisas científicas sobre o meio ambiente, focando no uso de aplicação de tecnologias espaciais e na coleta de dados ambientais em campo por meio do Programa GLOBE."
