id_plano_acao,id_programa,Total Plano de Ação,Situação Plano de Ação,inicio_vigencia_plano_acao,fim_vigencia_plano_acao,sigla_unidade_descentralizada,unidade_descentralizada,sigla_unidade_responsavel_execucao,unidade_responsavel_execucao,objeto_plano_acao,Ano,vl_beneficiario_especifico,sq_instrumento,aa_instrumento
3270,2717,450000,APROVADO,2024-11-01,2025-12-30,UNB,Fundação Universidade de Brasília,UNB,Fundação Universidade de Brasília,"Sob Coordenação do Prof. Dr. José Leonardo Ferreira e vice coordenação do Prof. Dr. Rodrigo Andrés Miranda Cerda, esse termo de execução descentralizada (TED) tem como objetivo fomentar um projeto de  desenvolvimento de tecnologias e competências, com apoio a formação de capital humano e  disseminação de conhecimento no setor da propulsão elétrica espacial. O projeto será conduzido em 14  meses e realizado sob a coordenação do Universidade de Brasília (UnB) em colaboração com o INPE e
 outras universidades como a UFSC. O projeto terá sete metas a serem alcançadas, sendo três eventos de capacitações voltadas para a comunidade de propulsão elétrica no Brasil, que será disponibilizada na Plataforma da AEB Escola Virtual. São as seguintes metas:
Meta 1: Revisão Bibliográfica;
Meta 2: Levantamento e Especificação de Requisitos para o HEPS;
Meta 3: Definição do Projeto Preliminar do HEPS; 
Meta 4: Definição do Projeto Detalhado do HEPS;
Meta 5:  2ª ESCOLA BRASILEIRA DE PROPULSÃO ELÉTRICA ESPACIAL;
Meta 6: Workshop de Propulsão Elétrica;
Meta 7: Curso Sobre Propulsão Elétrica e Suas Aplicações;

O projeto buscará promover uma ampla discussão técnica, a partir da realização de uma  Escola e um Workshop voltado para a área de Propulsão Elétrica Espacial, com participação de  especialistas nacionais e internacionais. Os eventos terão apresentações e debates visando um futuro  projeto de desenvolvimento de pequenos satélites nacionais com propulsores elétricos, além de contribuir para a consolidação da “Rede Brasileira de Propulsão Elétrica”. Para divulgação, o será realizado um curso sobre propulsão elétrica e suas aplicações a ser realizado pela plataforma AEB Escola Virtual tendo como público-alvo professores do Ensino Médio e estudantes de graduação de áreas relacionadas ao tema. Na última fase do projeto, será elaborada uma proposta de desenvolvimento de um propulsor elétrico nacional que atenda uma missão espacial de um micro ou nanossatélite. A escolha dessa tecnologia será embasada em estudos atuais e referências bibliográficas relevantes que serão revistas, além de análises de custos e oportunidades em harmonia com pesquisas existentes que possam obter orçamento compatíveis com os objetivos almejados em uma futura missão de nanossatélite usando propulsão elétrica. A tecnologia a ser escolhida para a proposta deve estar em nível de maturidade tecnológica de pelo menos TRL 3 para então propor os desenvolvimentos futuros necessários para que o propulsor atinja os níveis TRL 5 a 6. As documentações técnicas produzidas pelos projetos serão disponibilizadas a grupos universitários envolvidos em estudos sobre propulsão elétrica, podendo ser usadas como base teórica e tecnológica para reprodução e futuros desenvolvimentos. O objetivo é estimular o interesse na propulsão elétrica e auxiliar a formação de novos grupos de pesquisa, disseminando o conhecimento básico sobre o assunto.",2024,450000,969368,2024.0
2055,1888,1000000,ANALISE APROVADA,2023-12-15,2026-12-15,ITA,Instituto Tecnológico de Aeronáutica,ITA,Instituto Tecnológico de Aeronáutica,"O presente instrumento tem por objeto o desenvolvimento de competências e apoio a formação de capital humano em projetos de foguetes experimentais acadêmicos. Para tal fim, será desenvolvido dois projetos propulsão sob a coordenação do Instituto Tecnológico de Aeronáutica (ITA). O primeiro projeto consiste em um foguete a propulsão sólida contemplando a fabricação, os testes e um lançamento a partir do território nacional e preferencialmente em um centro de lançamento.  O segundo projeto contempla o desenvolvimento e testes de um motor foguete híbrido para caracterização em bancada. Ambos os projetos serão executados de forma paralela, de forma a integrar e comparar o conhecimento extraído em cada desenvolvimento.
As documentações técnicas produzidas pelos projetos serão disponibilizadas à grupos universitários de foguete modelismo, podendo ser usados como base teórica e tecnológica para reprodução e futuros desenvolvimentos. Além disso, serão produzidos materiais didáticos e cursos no formato EaD a serem disponibilizados na plataforma AEB Escola Virtual, tendo como público-alvo estudantes de graduação dos cursos de aeroespacial e afins. O objetivo é auxiliar a formação grupos foguetes universitários, disseminando e nivelando o conhecimento mínimo para a atuação dos estudantes com menores riscos à segurança e maiores contribuições tecnológicas e científicas.
Os cursos serão disponibilizados no formato síncronos e de autoaprendizagem (assíncronos).  Os cursos síncronos serão realizados a cada semestre e objetivarão a participação das equipes universitárias atuais. Esses cursos serão adaptados para o formato de autoaprendizagem, oferecendo acesso ao conhecimento a todos os novos integrantes destas equipes e às novas equipes formadas. 
Estudantes do ITA que participarem dos projetos de desenvolvimento do foguete e bancada de motor-foguete padrão atuaram como mentores nos cursos EaD, sob a orientação dos professores. Esses estudantes terão as atividades previstas neste objeto em harmonia com projetos de extensão no ITA, projetos de graduação e de iniciação científica.
Os temas dos cursos e materiais produzidos seguirão as metas de desenvolvimento a seguir:
1.          Capacitar estudantes de graduação do ITA para o projeto de um foguete padrão baseado em competições universitárias; Nivelamento básico de aerodinâmica e propulsão (propelente sólidos e híbridos); 
2.          Projeto técnico do foguete e de seus subsistemas. Relatório que conterá informações técnicas e teóricas utilizadas na proposição do projeto, simulações relevantes, desenho de peças e diagramas de integração;
3.          Desenvolvimento dos requisitos de missão dos dois projetos e de seus subsistemas, com completa previsão de aquisições, de fabricação e testes;
4.          Fabricação e teste de componentes e subsistemas do foguete padrão a propulsão sólida e do motor foguete híbrido, com análise preliminar dos resultados obtidos e acompanhamento de aquisições, fabricações e entregas;
5.          Integração dos subsistemas e verificação final para lançamento do foguete a propulsão sólida e para testes do motor a propulsão híbrida; 
6.          Operação de lançamento do foguete e testes em bancada do sistema propulsivo motor híbrido.",2023,1000000,,
4704,4360,1200000,APROVADO,2025-10-01,2026-10-31,UFPI,Fundação Universidade Federal do Piauí,UFPI,Fundação Universidade Federal do Piauí,Participação da Olimpíada Nacional de Ciências MCTI no CONGRESSO PLANETÁRIO DA ASE – 2025.,2025,1200000,982822,2025.0
4296,3704,1959504,APROVADO,2025-01-01,2025-12-31,IAE,Instituto de Aeronáutica e Espaço,IAE,Instituto de Aeronáutica e Espaço,Desenvolvimento de um protótipo de voo do MFPL L25 (Fase 0).,2025,1959504,976050,2025.0
2566,2357,299723.5,APROVADO,2024-02-01,2024-12-31,IAE,Instituto de Aeronáutica e Espaço,IAE,Instituto de Aeronáutica e Espaço,"Promover apoio à Campanha de Lançamento, bem como às atividades fins e infraestrutura de meios de solo relacionadas a veículos suborbitais",2024,299723.5,956440,2024.0
4295,3705,627854,APROVADO,2025-01-01,2025-12-31,IAE,Instituto de Aeronáutica e Espaço,IAE,Instituto de Aeronáutica e Espaço,Desenvolvimento e Lançamento do Veículo Lançador de Microssatélites – VLM-1.,2025,627854,976049,2025.0
4304,3987,268463,APROVADO,2025-06-01,2025-12-20,IAE,Instituto de Aeronáutica e Espaço,IAE,Instituto de Aeronáutica e Espaço,"Promover apoio à Campanha de Lançamento, bem como às atividades fins e infraestrutura de meios de solo relacionadas a veículos suborbitais.",2025,268463,976179,2025.0
4487,4082,56984852,APROVADO,2025-08-18,2027-12-31,INPE-MCT,Instituto Nacional de Pesquisas Espaciais,INPE-MCT,Instituto Nacional de Pesquisas Espaciais,"Desenvolver, lançar e comissionar o satélite Amazonia 1B como o primeiro satélite da missão AQUAE. Esse PO visa concluir a integração do satélite Amazonia 1B, viabilizar seu lançamento e comissionamento. Estão incluídas as atividades do segmento solo controle e aplicação, as quais são necessárias para a entrada do Amazonia 1B na sua fase operacional.",2025,56984852,978178,2025.0
3995,3608,4090867.16,APROVADO,2025-02-10,2025-12-31,DCTA,Departamento de Ciência e Tecnologia Aeroespacial,DCTA,Departamento de Ciência e Tecnologia Aeroespacial,"Construção das obras complementares da infraestrutura geral do Centro de Lançamento de Alcântara - CLA para apoio aos lançamentos previstos no PNAE, bem como aos sítios de lançamentos comerciais, e desenvolvimento de sistemas, Manutenção e Conservação de Bens Imóveis, Manutenção e Conservação de Equipamentos, Manutenção e Conservação de Máquinas e Aparelhos; e Manutenção e Conservação de Bens Móveis de Outras Naturezas, para o atendimento de demandas qualificadas do Estado e da sociedade, especialmente para observação do território, meteorologia e aplicações científicas, tais como laboratórios e centros de lançamento, incluindo as infraestruturas necessárias à exploração dos dados das missões.",2025,4090867.16,976430,2025.0
4139,3744,470000,ANALISE APROVADA,2025-05-09,2026-05-09,UFMA,Fundação Universidade Federal do Maranhão,UFMA,Fundação Universidade Federal do Maranhão,"Promover, no Estado do Maranhão, a capacitação de jovens cientistas cidadãos no desenvolvimento de pesquisas científicas sobre o meio ambiente, focando no uso de aplicação de tecnologias espaciais e na coleta de dados ambientais em campo por meio do Programa GLOBE.",2025,470000,975263,2025.0
